otorinolaringologi,['QQQ&#111;&#116;&#111;&#114;&#105;&#110;&#111;&#108;&#97;&#114;&#105;&#110;&#103;&#111;&#108;&#111;&#103;&#105;', 180000]
andrapradesx,['QQQ&#97;&#110;&#100;&#114;&#97;&#112;&#114;&#97;&#100;&#101;&#115;&#120;', 120000]
antikorpuskl,['QQQ&#97;&#110;&#116;&#105;&#107;&#111;&#114;&#112;&#117;&#115;&#107;&#108;', 120000]
antineuxtrin,['QQQ&#97;&#110;&#116;&#105;&#110;&#101;&#117;&#120;&#116;&#114;&#105;&#110;', 120000]
antropometri,['QQQ&#97;&#110;&#116;&#114;&#111;&#112;&#111;&#109;&#101;&#116;&#114;&#105;', 120000]
bakteriologi,['QQQ&#98;&#97;&#107;&#116;&#101;&#114;&#105;&#111;&#108;&#111;&#103;&#105;', 120000]
cirkonferenc,['QQQ&#99;&#105;&#114;&#107;&#111;&#110;&#102;&#101;&#114;&#101;&#110;&#99;', 120000]
demonstrativ,['<ruby>示<rt>QQQ&#100;&#101;&#109;&#111;&#110;&#115;&#116;&#114;&#97;&#116;&#105;&#118;</rt></ruby>', 120000]
dialektologi,['QQQ&#100;&#105;&#97;&#108;&#101;&#107;&#116;&#111;&#108;&#111;&#103;&#105;', 120000]
diskriminaci,['QQQ&#100;&#105;&#115;&#107;&#114;&#105;&#109;&#105;&#110;&#97;&#99;&#105;', 120000]
diskriminant,['QQQ&#100;&#105;&#115;&#107;&#114;&#105;&#109;&#105;&#110;&#97;&#110;&#116;', 120000]
ekaterinburg,['QQQ&#101;&#107;&#97;&#116;&#101;&#114;&#105;&#110;&#98;&#117;&#114;&#103;', 120000]
eksponencial,['QQQ&#101;&#107;&#115;&#112;&#111;&#110;&#101;&#110;&#99;&#105;&#97;&#108;', 120000]
ekstravaganc,['QQQ&#101;&#107;&#115;&#116;&#114;&#97;&#118;&#97;&#103;&#97;&#110;&#99;', 120000]
encefalopati,['QQQ&#101;&#110;&#99;&#101;&#102;&#97;&#108;&#111;&#112;&#97;&#116;&#105;', 120000]
epidemiologi,['QQQ&#101;&#112;&#105;&#100;&#101;&#109;&#105;&#111;&#108;&#111;&#103;&#105;', 120000]
esperantolog,['QQQ&#101;&#115;&#112;&#101;&#114;&#97;&#110;&#116;&#111;&#108;&#111;&#103;', 120000]
fantasmagori,['QQQ&#102;&#97;&#110;&#116;&#97;&#115;&#109;&#97;&#103;&#111;&#114;&#105;', 120000]
fenomenologi,['QQQ&#102;&#101;&#110;&#111;&#109;&#101;&#110;&#111;&#108;&#111;&#103;&#105;', 120000]
fitogeografi,['QQQ&#102;&#105;&#116;&#111;&#103;&#101;&#111;&#103;&#114;&#97;&#102;&#105;', 120000]
fototelegraf,['QQQ&#102;&#111;&#116;&#111;&#116;&#101;&#108;&#101;&#103;&#114;&#97;&#102;', 120000]
hepatikopsid,['QQQ&#104;&#101;&#112;&#97;&#116;&#105;&#107;&#111;&#112;&#115;&#105;&#100;', 120000]
hidrodinamik,['QQQ&#104;&#105;&#100;&#114;&#111;&#100;&#105;&#110;&#97;&#109;&#105;&#107;', 120000]
impresionism,['QQQ&#105;&#109;&#112;&#114;&#101;&#115;&#105;&#111;&#110;&#105;&#115;&#109;', 120000]
impresionist,['QQQ&#105;&#109;&#112;&#114;&#101;&#115;&#105;&#111;&#110;&#105;&#115;&#116;', 120000]
jurisprudenc,['QQQ&#106;&#117;&#114;&#105;&#115;&#112;&#114;&#117;&#100;&#101;&#110;&#99;', 120000]
kancxenjxung,['QQQ&#107;&#97;&#110;&#99;&#120;&#101;&#110;&#106;&#120;&#117;&#110;&#103;', 120000]
kinematograf,['QQQ&#107;&#105;&#110;&#101;&#109;&#97;&#116;&#111;&#103;&#114;&#97;&#102;', 120000]
konjunktivit,['QQQ&#107;&#111;&#110;&#106;&#117;&#110;&#107;&#116;&#105;&#118;&#105;&#116;', 120000]
konservatori,['<ruby>学<rt>QQQ&#107;&#111;&#110;&#115;&#101;&#114;&#118;&#97;&#116;&#111;&#114;&#105;</rt></ruby>', 120000]
kontradmiral,['QQQ&#107;&#111;&#110;&#116;&#114;&#97;&#100;&#109;&#105;&#114;&#97;&#108;', 120000]
kristalograf,['QQQ&#107;&#114;&#105;&#115;&#116;&#97;&#108;&#111;&#103;&#114;&#97;&#102;', 120000]
kumulonimbus,['QQQ&#107;&#117;&#109;&#117;&#108;&#111;&#110;&#105;&#109;&#98;&#117;&#115;', 120000]
madjapradesx,['QQQ&#109;&#97;&#100;&#106;&#97;&#112;&#114;&#97;&#100;&#101;&#115;&#120;', 120000]
maltusianism,['QQQ&#109;&#97;&#108;&#116;&#117;&#115;&#105;&#97;&#110;&#105;&#115;&#109;', 120000]
merkantilism,['QQQ&#109;&#101;&#114;&#107;&#97;&#110;&#116;&#105;&#108;&#105;&#115;&#109;', 120000]
mikrobiologi,['QQQ&#109;&#105;&#107;&#114;&#111;&#98;&#105;&#111;&#108;&#111;&#103;&#105;', 120000]
monokromator,['QQQ&#109;&#111;&#110;&#111;&#107;&#114;&#111;&#109;&#97;&#116;&#111;&#114;', 120000]
multiplikend,['QQQ&#109;&#117;&#108;&#116;&#105;&#112;&#108;&#105;&#107;&#101;&#110;&#100;', 120000]
nebukadnecar,['QQQ&#110;&#101;&#98;&#117;&#107;&#97;&#100;&#110;&#101;&#99;&#97;&#114;', 120000]
nimbostratus,['QQQ&#110;&#105;&#109;&#98;&#111;&#115;&#116;&#114;&#97;&#116;&#117;&#115;', 120000]
nordteritori,['QQQ&#110;&#111;&#114;&#100;&#116;&#101;&#114;&#105;&#116;&#111;&#114;&#105;', 120000]
obskurantism,['QQQ&#111;&#98;&#115;&#107;&#117;&#114;&#97;&#110;&#116;&#105;&#115;&#109;', 120000]
paleontologi,['<ruby>古<rt>QQQ&#112;&#97;&#108;&#101;&#111;&#110;&#116;&#111;&#108;&#111;&#103;&#105;</rt></ruby>', 120000]
paralelogram,['<ruby>形<rt>QQQ&#112;&#97;&#114;&#97;&#108;&#101;&#108;&#111;&#103;&#114;&#97;&#109;</rt></ruby>', 120000]
parazitologi,['QQQ&#112;&#97;&#114;&#97;&#122;&#105;&#116;&#111;&#108;&#111;&#103;&#105;', 120000]
pirheliometr,['QQQ&#112;&#105;&#114;&#104;&#101;&#108;&#105;&#111;&#109;&#101;&#116;&#114;', 120000]
potenciometr,['QQQ&#112;&#111;&#116;&#101;&#110;&#99;&#105;&#111;&#109;&#101;&#116;&#114;', 120000]
presbiterian,['QQQ&#112;&#114;&#101;&#115;&#98;&#105;&#116;&#101;&#114;&#105;&#97;&#110;', 120000]
propedeuxtik,['QQQ&#112;&#114;&#111;&#112;&#101;&#100;&#101;&#117;&#120;&#116;&#105;&#107;', 120000]
refleksologi,['QQQ&#114;&#101;&#102;&#108;&#101;&#107;&#115;&#111;&#108;&#111;&#103;&#105;', 120000]
refraktometr,['QQQ&#114;&#101;&#102;&#114;&#97;&#107;&#116;&#111;&#109;&#101;&#116;&#114;', 120000]
rektumoskopi,['QQQ&#114;&#101;&#107;&#116;&#117;&#109;&#111;&#115;&#107;&#111;&#112;&#105;', 120000]
retrospektiv,['QQQ&#114;&#101;&#116;&#114;&#111;&#115;&#112;&#101;&#107;&#116;&#105;&#118;', 120000]
spektrometri,['QQQ&#115;&#112;&#101;&#107;&#116;&#114;&#111;&#109;&#101;&#116;&#114;&#105;', 120000]
spektroskopi,['QQQ&#115;&#112;&#101;&#107;&#116;&#114;&#111;&#115;&#107;&#111;&#112;&#105;', 120000]
spiritualism,['<ruby>论<rt>QQQ&#115;&#112;&#105;&#114;&#105;&#116;&#117;&#97;&#108;&#105;&#115;&#109;</rt></ruby>', 120000]
spiritualist,['<ruby>者<rt>QQQ&#115;&#112;&#105;&#114;&#105;&#116;&#117;&#97;&#108;&#105;&#115;&#116;</rt></ruby>', 120000]
streptomicin,['QQQ&#115;&#116;&#114;&#101;&#112;&#116;&#111;&#109;&#105;&#99;&#105;&#110;', 120000]
telefotograf,['QQQ&#116;&#101;&#108;&#101;&#102;&#111;&#116;&#111;&#103;&#114;&#97;&#102;', 120000]
termodinamik,['QQQ&#116;&#101;&#114;&#109;&#111;&#100;&#105;&#110;&#97;&#109;&#105;&#107;', 120000]
trigonometri,['<ruby>角<rt>QQQ&#116;&#114;&#105;&#103;&#111;&#110;&#111;&#109;&#101;&#116;&#114;&#105;</rt></ruby>', 120000]
turkmenistan,['QQQ&#116;&#117;&#114;&#107;&#109;&#101;&#110;&#105;&#115;&#116;&#97;&#110;', 120000]
volumenometr,['QQQ&#118;&#111;&#108;&#117;&#109;&#101;&#110;&#111;&#109;&#101;&#116;&#114;', 120000]
admiralitat,['<ruby>海<rt>QQQ&#97;&#100;&#109;&#105;&#114;&#97;&#108;&#105;&#116;&#97;&#116;</rt></ruby>', 110000]
aeronauxtik,['QQQ&#97;&#101;&#114;&#111;&#110;&#97;&#117;&#120;&#116;&#105;&#107;', 110000]
agnostikism,['QQQ&#97;&#103;&#110;&#111;&#115;&#116;&#105;&#107;&#105;&#115;&#109;', 110000]
antananariv,['QQQ&#97;&#110;&#116;&#97;&#110;&#97;&#110;&#97;&#114;&#105;&#118;', 110000]
antilebanon,['QQQ&#97;&#110;&#116;&#105;&#108;&#101;&#98;&#97;&#110;&#111;&#110;', 110000]
antipartikl,['QQQ&#97;&#110;&#116;&#105;&#112;&#97;&#114;&#116;&#105;&#107;&#108;', 110000]
antropologi,['<ruby>学<rt>QQQ&#97;&#110;&#116;&#114;&#111;&#112;&#111;&#108;&#111;&#103;&#105;</rt></ruby>', 110000]
arhxitektur,['<ruby>图<rt>QQQ&#97;&#114;&#104;&#120;&#105;&#116;&#101;&#107;&#116;&#117;&#114;</rt></ruby>', 110000]
aristokrati,['<ruby>族<rt>QQQ&#97;&#114;&#105;&#115;&#116;&#111;&#107;&#114;&#97;&#116;&#105;</rt></ruby>', 110000]
arkeopterig,['QQQ&#97;&#114;&#107;&#101;&#111;&#112;&#116;&#101;&#114;&#105;&#103;', 110000]
astigmatism,['QQQ&#97;&#115;&#116;&#105;&#103;&#109;&#97;&#116;&#105;&#115;&#109;', 110000]
auxstralazi,['QQQ&#97;&#117;&#120;&#115;&#116;&#114;&#97;&#108;&#97;&#122;&#105;', 110000]
auxstronezi,['QQQ&#97;&#117;&#120;&#115;&#116;&#114;&#111;&#110;&#101;&#122;&#105;', 110000]
auxtodidakt,['QQQ&#97;&#117;&#120;&#116;&#111;&#100;&#105;&#100;&#97;&#107;&#116;', 110000]
azerbajgxan,['QQQ&#97;&#122;&#101;&#114;&#98;&#97;&#106;&#103;&#120;&#97;&#110;', 110000]
bakteriofag,['QQQ&#98;&#97;&#107;&#116;&#101;&#114;&#105;&#111;&#102;&#97;&#103;', 110000]
beletristik,['QQQ&#98;&#101;&#108;&#101;&#116;&#114;&#105;&#115;&#116;&#105;&#107;', 110000]
bibliografi,['<ruby>目<rt>QQQ&#98;&#105;&#98;&#108;&#105;&#111;&#103;&#114;&#97;&#102;&#105;</rt></ruby>', 110000]
biogeografi,['QQQ&#98;&#105;&#111;&#103;&#101;&#111;&#103;&#114;&#97;&#102;&#105;', 110000]
brandenburg,['QQQ&#98;&#114;&#97;&#110;&#100;&#101;&#110;&#98;&#117;&#114;&#103;', 110000]
cirkonstanc,['<ruby>境<rt>QQQ&#99;&#105;&#114;&#107;&#111;&#110;&#115;&#116;&#97;&#110;&#99;</rt></ruby>', 110000]
cirkumfleks,['<ruby>符<rt>QQQ&#99;&#105;&#114;&#107;&#117;&#109;&#102;&#108;&#101;&#107;&#115;</rt></ruby>', 110000]
cukcukcikad,['QQQ&#99;&#117;&#107;&#99;&#117;&#107;&#99;&#105;&#107;&#97;&#100;', 110000]
cxjicxjihar,['QQQ&#99;&#120;&#106;&#105;&#99;&#120;&#106;&#105;&#104;&#97;&#114;', 110000]
demonstraci,['<ruby>示<rt>QQQ&#100;&#101;&#109;&#111;&#110;&#115;&#116;&#114;&#97;&#99;&#105;</rt></ruby>', 110000]
denominator,['QQQ&#100;&#101;&#110;&#111;&#109;&#105;&#110;&#97;&#116;&#111;&#114;', 110000]
departement,['<ruby>部<rt>QQQ&#100;&#101;&#112;&#97;&#114;&#116;&#101;&#109;&#101;&#110;&#116;</rt></ruby>', 110000]
dermatologi,['QQQ&#100;&#101;&#114;&#109;&#97;&#116;&#111;&#108;&#111;&#103;&#105;', 110000]
dialektolog,['QQQ&#100;&#105;&#97;&#108;&#101;&#107;&#116;&#111;&#108;&#111;&#103;', 110000]
diferencial,['QQQ&#100;&#105;&#102;&#101;&#114;&#101;&#110;&#99;&#105;&#97;&#108;', 110000]
dolikocefal,['QQQ&#100;&#111;&#108;&#105;&#107;&#111;&#99;&#101;&#102;&#97;&#108;', 110000]
eksperiment,['<ruby>试<rt>QQQ&#101;&#107;&#115;&#112;&#101;&#114;&#105;&#109;&#101;&#110;&#116;</rt></ruby>', 110000]
eksponometr,['QQQ&#101;&#107;&#115;&#112;&#111;&#110;&#111;&#109;&#101;&#116;&#114;', 110000]
ekstemporal,['QQQ&#101;&#107;&#115;&#116;&#101;&#109;&#112;&#111;&#114;&#97;&#108;', 110000]
elektrometr,['QQQ&#101;&#108;&#101;&#107;&#116;&#114;&#111;&#109;&#101;&#116;&#114;', 110000]
elektroskop,['QQQ&#101;&#108;&#101;&#107;&#116;&#114;&#111;&#115;&#107;&#111;&#112;', 110000]
elektrotipi,['QQQ&#101;&#108;&#101;&#107;&#116;&#114;&#111;&#116;&#105;&#112;&#105;', 110000]
embriogenez,['QQQ&#101;&#109;&#98;&#114;&#105;&#111;&#103;&#101;&#110;&#101;&#122;', 110000]
enciklopedi,['<ruby>集<rt>QQQ&#101;&#110;&#99;&#105;&#107;&#108;&#111;&#112;&#101;&#100;&#105;</rt></ruby>', 110000]
entablement,['QQQ&#101;&#110;&#116;&#97;&#98;&#108;&#101;&#109;&#101;&#110;&#116;', 110000]
euxdiometri,['QQQ&#101;&#117;&#120;&#100;&#105;&#111;&#109;&#101;&#116;&#114;&#105;', 110000]
faringoskop,['QQQ&#102;&#97;&#114;&#105;&#110;&#103;&#111;&#115;&#107;&#111;&#112;', 110000]
farmakologi,['QQQ&#102;&#97;&#114;&#109;&#97;&#107;&#111;&#108;&#111;&#103;&#105;', 110000]
fizioterapi,['QQQ&#102;&#105;&#122;&#105;&#111;&#116;&#101;&#114;&#97;&#112;&#105;', 110000]
formaldehid,['QQQ&#102;&#111;&#114;&#109;&#97;&#108;&#100;&#101;&#104;&#105;&#100;', 110000]
fotogliptik,['QQQ&#102;&#111;&#116;&#111;&#103;&#108;&#105;&#112;&#116;&#105;&#107;', 110000]
francxkonte,['QQQ&#102;&#114;&#97;&#110;&#99;&#120;&#107;&#111;&#110;&#116;&#101;', 110000]
galvanometr,['QQQ&#103;&#97;&#108;&#118;&#97;&#110;&#111;&#109;&#101;&#116;&#114;', 110000]
galvanoskop,['QQQ&#103;&#97;&#108;&#118;&#97;&#110;&#111;&#115;&#107;&#111;&#112;', 110000]
gastrokamer,['QQQ&#103;&#97;&#115;&#116;&#114;&#111;&#107;&#97;&#109;&#101;&#114;', 110000]
gastroskopi,['QQQ&#103;&#97;&#115;&#116;&#114;&#111;&#115;&#107;&#111;&#112;&#105;', 110000]
gastrospasm,['QQQ&#103;&#97;&#115;&#116;&#114;&#111;&#115;&#112;&#97;&#115;&#109;', 110000]
gastrostomi,['QQQ&#103;&#97;&#115;&#116;&#114;&#111;&#115;&#116;&#111;&#109;&#105;', 110000]
gratifikaci,['QQQ&#103;&#114;&#97;&#116;&#105;&#102;&#105;&#107;&#97;&#99;&#105;', 110000]
gvadalkanal,['QQQ&#103;&#118;&#97;&#100;&#97;&#108;&#107;&#97;&#110;&#97;&#108;', 110000]
gvadalkivir,['QQQ&#103;&#118;&#97;&#100;&#97;&#108;&#107;&#105;&#118;&#105;&#114;', 110000]
hejlungxang,['QQQ&#104;&#101;&#106;&#108;&#117;&#110;&#103;&#120;&#97;&#110;&#103;', 110000]
hektopaskal,['QQQ&#104;&#101;&#107;&#116;&#111;&#112;&#97;&#115;&#107;&#97;&#108;', 110000]
hemerokalid,['QQQ&#104;&#101;&#109;&#101;&#114;&#111;&#107;&#97;&#108;&#105;&#100;', 110000]
hermafrodit,['<ruby>性<rt>QQQ&#104;&#101;&#114;&#109;&#97;&#102;&#114;&#111;&#100;&#105;&#116;</rt></ruby>', 110000]
hidroelektr,['QQQ&#104;&#105;&#100;&#114;&#111;&#101;&#108;&#101;&#107;&#116;&#114;', 110000]
hidrokarbid,['QQQ&#104;&#105;&#100;&#114;&#111;&#107;&#97;&#114;&#98;&#105;&#100;', 110000]
hidrokarbon,['QQQ&#104;&#105;&#100;&#114;&#111;&#107;&#97;&#114;&#98;&#111;&#110;', 110000]
hidrostatik,['<ruby>静<rt>QQQ&#104;&#105;&#100;&#114;&#111;&#115;&#116;&#97;&#116;&#105;&#107;</rt></ruby>', 110000]
hidroterapi,['<ruby>水<rt>QQQ&#104;&#105;&#100;&#114;&#111;&#116;&#101;&#114;&#97;&#112;&#105;</rt></ruby>', 110000]
hiperboloid,['QQQ&#104;&#105;&#112;&#101;&#114;&#98;&#111;&#108;&#111;&#105;&#100;', 110000]
hipermetrop,['QQQ&#104;&#105;&#112;&#101;&#114;&#109;&#101;&#116;&#114;&#111;&#112;', 110000]
hipocikloid,['QQQ&#104;&#105;&#112;&#111;&#99;&#105;&#107;&#108;&#111;&#105;&#100;', 110000]
hipohxondri,['QQQ&#104;&#105;&#112;&#111;&#104;&#120;&#111;&#110;&#100;&#114;&#105;', 110000]
hipokasxtan,['QQQ&#104;&#105;&#112;&#111;&#107;&#97;&#115;&#120;&#116;&#97;&#110;', 110000]
hortikultur,['QQQ&#104;&#111;&#114;&#116;&#105;&#107;&#117;&#108;&#116;&#117;&#114;', 110000]
ihxtiosauxr,['QQQ&#105;&#104;&#120;&#116;&#105;&#111;&#115;&#97;&#117;&#120;&#114;', 110000]
imperialism,['<ruby>权<rt>QQQ&#105;&#109;&#112;&#101;&#114;&#105;&#97;&#108;&#105;&#115;&#109;</rt></ruby>', 110000]
imperialist,['QQQ&#105;&#109;&#112;&#101;&#114;&#105;&#97;&#108;&#105;&#115;&#116;', 110000]
impertinent,['<ruby>不<rt>QQQ&#105;&#109;&#112;&#101;&#114;&#116;&#105;&#110;&#101;&#110;&#116;</rt></ruby>', 110000]
inauxguraci,['<ruby>式<rt>QQQ&#105;&#110;&#97;&#117;&#120;&#103;&#117;&#114;&#97;&#99;&#105;</rt></ruby>', 110000]
infinitezim,['QQQ&#105;&#110;&#102;&#105;&#110;&#105;&#116;&#101;&#122;&#105;&#109;', 110000]
interpelaci,['<ruby>问<rt>QQQ&#105;&#110;&#116;&#101;&#114;&#112;&#101;&#108;&#97;&#99;&#105;</rt></ruby>', 110000]
interpunkci,['<ruby>号<rt>QQQ&#105;&#110;&#116;&#101;&#114;&#112;&#117;&#110;&#107;&#99;&#105;</rt></ruby>', 110000]
introvertit,['QQQ&#105;&#110;&#116;&#114;&#111;&#118;&#101;&#114;&#116;&#105;&#116;', 110000]
johanesburg,['QQQ&#106;&#111;&#104;&#97;&#110;&#101;&#115;&#98;&#117;&#114;&#103;', 110000]
jxijxicikad,['QQQ&#106;&#120;&#105;&#106;&#120;&#105;&#99;&#105;&#107;&#97;&#100;', 110000]
kalejdoskop,['<ruby>筒<rt>QQQ&#107;&#97;&#108;&#101;&#106;&#100;&#111;&#115;&#107;&#111;&#112;</rt></ruby>', 110000]
kaliningrad,['QQQ&#107;&#97;&#108;&#105;&#110;&#105;&#110;&#103;&#114;&#97;&#100;', 110000]
kalorimetri,['QQQ&#107;&#97;&#108;&#111;&#114;&#105;&#109;&#101;&#116;&#114;&#105;', 110000]
kardiografi,['QQQ&#107;&#97;&#114;&#100;&#105;&#111;&#103;&#114;&#97;&#102;&#105;', 110000]
kilimangxar,['QQQ&#107;&#105;&#108;&#105;&#109;&#97;&#110;&#103;&#120;&#97;&#114;', 110000]
kirgizistan,['QQQ&#107;&#105;&#114;&#103;&#105;&#122;&#105;&#115;&#116;&#97;&#110;', 110000]
kompensator,['QQQ&#107;&#111;&#109;&#112;&#101;&#110;&#115;&#97;&#116;&#111;&#114;', 110000]
kondensator,['QQQ&#107;&#111;&#110;&#100;&#101;&#110;&#115;&#97;&#116;&#111;&#114;', 110000]
kondicional,['<ruby>条<rt>QQQ&#107;&#111;&#110;&#100;&#105;&#99;&#105;&#111;&#110;&#97;&#108;</rt></ruby>', 110000]
konfederaci,['<ruby>联<rt>QQQ&#107;&#111;&#110;&#102;&#101;&#100;&#101;&#114;&#97;&#99;&#105;</rt></ruby>', 110000]
